Title,Author,Year,Download Link,Language
"The World Shakespeare Congress ProceedingsRenaissance Shakespeare: Shakespeare Renaissances: Proceedings of the Ninth World Shakespeare Congress 1611494605, 9781611494600","Martin Procházka, Michael Dobson, Andreas Höfele, Hanna Scolnicov",2013,https://download.library.lol/main/1538000/7ccd213b1050b1b3c8249e72de140407/%28The%20World%20Shakespeare%20Congress%20Proceedings%29%20Martin%20Proch%C3%A1zka%2C%20Michael%20Dobson%2C%20Andreas%20H%C3%B6fele%2C%20Hanna%20Scolnicov%20-%20Renaissance%20Shakespeare_%20Shakespeare%20Renaissances_%20Proceedings%20of%20the%20Ninth%20World%20Shake.pdf,English
"Tolkien’s Sacramental Vision: Discerning the Holy in Middle Earth 162138053X, 9781621380535",Craig Bernthal,2014,https://download.library.lol/main/1538000/68eb460e0ea18d532f16d9e22f5fe8d4/Craig%20Bernthal%20-%20Tolkien%E2%80%99s%20Sacramental%20Vision_%20Discerning%20the%20Holy%20in%20Middle%20Earth-Second%20Spring%20Books%20%282014%29.mobi,English
"Genres in ContextScience Fiction Before 1900: Imagination Discovers Technology 0415938872, 9780415938877",Paul K. Alkon,2002,https://download.library.lol/main/1540000/d98e2cc573c159529f7c4d57cd8773a5/%28Genres%20in%20Context%29%20Paul%20K.%20Alkon%20-%20Science%20Fiction%20Before%201900_%20Imagination%20Discovers%20Technology-Routledge%20%282002%29.pdf,English
De tut changea cele vie : religious conversion in french medieval saint’s lives,"Gillespie, Maureen",1996,https://download.library.lol/main/1547000/6778dcb70cef186ef68aa080a7bcb61c/Gillespie%2C%20Maureen%20-%20De%20tut%20changea%20cele%20vie%20_%20religious%20conversion%20in%20french%20medieval%20saint%E2%80%99s%20lives-New%20York%20University%20%281996%29.pdf,English
A paleographic transcription and edition of Francesc Eiximenis’ Libro delos angeles (Castilian translation),Marie Gillette,1996,https://download.library.lol/main/1547000/89166cb39b20d5958bb41e9464cb0ac9/Marie%20Gillette%20-%20A%20paleographic%20transcription%20and%20edition%20of%20Francesc%20Eiximenis%E2%80%99%20Libro%20delos%20angeles%20%28Castilian%20translation%29-Pennsylvania%20State%20University%20%281996%29.pdf,English
Mithila Review - July/August 2016 [July/August 2016 ed.],"Editors: Salik Shah, Ajapa Sharma",2016,https://download.library.lol/main/1547000/374fcee6279f6172c486db25b619c221/Editors_%20Salik%20Shah%2C%20Ajapa%20Sharma%20-%20Mithila%20Review%20-%20July_August%202016-Mithila%20Review%20%282016%29.epub,English
The autobiography of Giraldus Cambrensis / edited and translated by H.E. Butler. With an introductory chapter by C.H. Williams.,"Butler, Harold Edgeworth",1937,https://download.library.lol/main/1556000/6b3e31d2e5cb668783806b000574c725/Butler%2C%20Harold%20Edgeworth%20-%20The%20autobiography%20of%20Giraldus%20Cambrensis%20_%20edited%20and%20translated%20by%20H.E.%20Butler.%20With%20an%20introductory%20chapter%20by%20C.H.%20Williams.-J.%20Cape%20%281937%29.pdf,English
Maecenas.,"Byrne, Shannon Nora",1996,https://download.library.lol/main/1556000/337caa7ed8f210088a519b1f6ff4d05a/Byrne%2C%20Shannon%20Nora%20-%20Maecenas.-Northwestern%20University%20%281996%29.pdf,English
Maistre Wace : romancier malgré lui,"Buttry, Dolores Jean",1997,https://download.library.lol/main/1556000/1d4f1fc766aad529f775e5c8c1eecd44/Buttry%2C%20Dolores%20Jean%20-%20Maistre%20Wace%20_%20romancier%20malgre%CC%81%20lui-University%20of%20Pittsburgh%20%281997%29.pdf,English
Le Roman de Pelyarmenus : a preliminary study and partial edition of an unpublished thirteenth-century prose romance,"Brodtkorb, Lorna Bullwinkle",1965,https://download.library.lol/main/1558000/fc784a92a45c9b1d83265f99bb9a2107/Brodtkorb%2C%20Lorna%20Bullwinkle%20-%20Le%20Roman%20de%20Pelyarmenus%20_%20a%20preliminary%20study%20and%20partial%20edition%20of%20an%20unpublished%20thirteenth-century%20prose%20romance-Yale%20University%20%281965%29.pdf,English
Tradition and modernity from 1380 to 1405 : Christine de Pizan.,"Bumgardner, George H.",1970,https://download.library.lol/main/1558000/ca99eef15ca7bdde16a0da3116d5f6df/Bumgardner%2C%20George%20H.%20-%20Tradition%20and%20modernity%20from%201380%20to%201405%20_%20Christine%20de%20Pizan.-Yale%20University%20%281970%29.pdf,English
PhD DissertationThe childhood of the epic hero: a study of the Old French enfances texts of epic cycles,Julie A. Baker,2002,https://download.library.lol/main/1558000/bdd98d3faf8a752eede9bdb1ebfbfb47/%28PhD%20Dissertation%29%20Julie%20A.%20Baker%20-%20The%20childhood%20of%20the%20epic%20hero_%20a%20study%20of%20the%20Old%20French%20enfances%20texts%20of%20epic%20cycles-Indiana%20University%20%282002%29.pdf,English
"University of British Columbia.; Department of English.; Thesis.Body politics : otherness and the representation of bodies in late medieval writings 9780612250192, 0612250199","Blum Fuller, Martín F.",1997,https://download.library.lol/main/1558000/4abf86ed448e2fe0c50764d89affffed/%28University%20of%20British%20Columbia._%20Department%20of%20English._%20Thesis.%29%20Blum%20Fuller%2C%20Mart%C3%ADn%20F.%20-%20Body%20politics%20_%20otherness%20and%20the%20representation%20of%20bodies%20in%20late%20medieval%20writings-University%20of%20British%20C.pdf,English
Christine de Pizan and biblical Wisdom: A feminist-theological point of view,"Birk, Bonnie A.",2004,https://download.library.lol/main/1558000/667533bea2de0ac0ce59b7896c62c9bf/Birk%2C%20Bonnie%20A.%20-%20Christine%20de%20Pizan%20and%20biblical%20Wisdom_%20A%20feminist-theological%20point%20of%20view-Marquette%20University%20%282004%29.pdf,English
"PhD DissertationThe traditions of the old French ""Roman de Thebes"": a poetico-historical analysis",Renate Blumenfeld-Kosinski,1980,https://download.library.lol/main/1558000/b863c52fbd927cad33d8bdd75ca6ccca/%28PhD%20Dissertation%29%20Renate%20Blumenfeld-Kosinski%20-%20The%20traditions%20of%20the%20old%20French%20_Roman%20de%20Thebes__%20a%20poetico-historical%20analysis-Princeton%20University%20%281980%29.pdf,English
"Études Préliminaires Aux Religions Orientales Dans l’Empire Romain Ser.Twelve Gods of Greece and Rome 9789004296657, 9004296654","Long, C. R.",1987,https://download.library.lol/main/2240000/64cf3ac12a4b71fadfdbcacd708edf57/%28E%CC%81tudes%20Pre%CC%81liminaires%20Aux%20Religions%20Orientales%20Dans%20l%E2%80%99Empire%20Romain%20Ser.%29%20Long%2C%20C.%20R.%20-%20Twelve%20Gods%20of%20Greece%20and%20Rome-BRILL%20%281987%29.pdf,English
"The Landscape of King Arthur 0805007113,  9780805007114","Geoffrey Ashe, Simon McBride",1988,https://download.library.lol/main/2240000/01f7763842d1e86ed0ff037b9b439a89/Geoffrey%20Ashe%2C%20Simon%20McBride%20-%20The%20Landscape%20of%20King%20Arthur-Henry%20Holt%20and%20Company%20%281988%29.pdf,English
"The Basel CommentaryHomer’s Iliad. Book III 9781501501784, 150150178X, 9781501501814, 150150181X","Krieter-Spiro, Martha",2015,https://download.library.lol/main/2240000/155b03e734b0e8d1ea7f9fe88ac53ed1/%28The%20Basel%20Commentary%29%20Krieter-Spiro%2C%20Martha%20-%20Homer%E2%80%99s%20Iliad.%20Book%20III-de%20Gruyter%20%282015%29.pdf,English
